carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
TUI Airways,28903,66,570.77046813,0.019747793243953916,0.0022782974904207946,36.3994395045497
United Airlines,8024,138,157.69235088,0.019652586101694913,0.016907620681205587,22.87076271186441
Wizz Air,29321,328,560.44936272,0.01911426495412844,0.011062767715605923,24.456396439412025
American Airlines,8326,54,150.97354682,0.018132782466970934,0.006443914081145584,21.140403555128515
Blue Islands Limited,6941,99,74.961898,0.010799870047543582,0.0140625,14.79527445613024
Loganair Ltd,32453,1406,324.11377802,0.009987174622376976,0.04152514840958091,17.39358456845284
easyJet,183925,3594,1793.7488446300001,0.009752610273916,0.019166057839472266,24.39808617643061
Jet2.com,50453,244,488.05813849000003,0.009673520672507086,0.004812908061621003,21.285751095078588
Ryanair,153226,973,1390.3337355200001,0.00907374554918878,0.006310027950894623,21.450896062026025
British Airways,163999,5199,1392.05660726,0.00848820180159635,0.030727313561626023,21.743681363910756
Emerald Airlines Uk Ltd,7260,35,56.170989240000004,0.0077370508595041325,0.004797806716929404,14.225206611570249
Thy Turkish Airlines,6575,27,29.84663221,0.004539411742965779,0.004089669797031203,20.09703422053232
Vueling,9847,118,44.410351500000004,0.004510038742764294,0.011841445057701957,14.213262922717579
Virgin Atlantic Airways Ltd,11574,136,47.41818521,0.004096957422671505,0.01161400512382579,12.61033350613444
Aer Lingus,23749,720,82.01826012000001,0.003453545838561624,0.02942498671788794,13.683228767527053
Air France,6323,68,18.80126937,0.0029734729353155147,0.010639962447191363,14.352838842321683
Emirates,6497,11,12.97860902,0.0019976310635678005,0.0016902274124154886,12.340310912728953
Sas,7121,129,9.759166350000001,0.0013704769484622948,0.017793103448275862,13.81308804943126
Lufthansa,14386,421,16.532816880000002,0.0011492295898790491,0.02843249814277031,14.652578896149034
Klm,16095,710,15.08637861,0.0009373332469711091,0.04224933055638203,11.462938800869836
Swiss Airlines,7352,120,4.9907817,0.0006788332018498369,0.016059957173447537,14.649075081610446
Eurowings Luftverkehrs,5739,133,0.99999986,0.00017424635999303015,0.022649863760217985,12.991113434396237
