year,month,carrier_group,route,n_flights,p_hat,predicted_ev,actual_p_ge_3h,realized_ev_per_bet,realized_ev_total,irr_annualized
2024,1,Ryanair,EDINBURGH->LISBON,13,0.10698818969223528,-20.23406704239308,0.0,-32.414,-421.382,-0.9974999999999999
2024,2,Ryanair,EDINBURGH->LISBON,13,0.107460073161433,-20.370161734023068,0.0,-32.414,-421.382,-0.9974999999999999
