bin,n_cells,weight_sum,mean_pred,mean_actual
0,4586,223448.0,0.0038511327047881694,0.0033984796404980134
1,4204,177885.0,0.0059642288179200574,0.006183599212468729
2,949,34589.0,0.006421235406378351,0.006111144813379977
3,3552,116306.0,0.006496369735166881,0.005454124889859508
4,4894,147072.0,0.008060102919709274,0.005467687145751741
5,2148,64708.0,0.010320468271689606,0.007020112113958089
6,5885,105672.0,0.011972623801703535,0.008531539127488833
8,3044,40473.0,0.014916464562126504,0.01095414835544684
9,3175,44600.0,0.021918568637108546,0.013808213117937222
