carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
American Airlines,8147,117,275.93756057,0.03386983681968823,0.014157792836398838,35.603657788142876
Aurigny Air Services,5388,313,131.19463206,0.024349412037861916,0.05490264865813015,24.809948032665183
United Airlines,7469,109,160.00653971,0.021422752672379166,0.014383742412245975,22.366314098272863
TUI Airways,31317,105,526.38732837,0.016808357389596705,0.003341607790719878,32.857266021649586
Wizz Air,29066,250,439.60599424000003,0.01512440632491571,0.008527766407422567,20.12203261542696
Blue Islands Limited,6229,277,86.84108698,0.013941417078182694,0.0425760836151245,20.05634933376144
Jet2.com,57111,157,495.18831626,0.008670629410446324,0.002741496123489558,20.863021134282363
easyJet,193702,2273,1584.53767971,0.008180285591836945,0.011598418165582344,20.401193586023894
Ryanair,161946,580,1250.19220199,0.007719809084447903,0.0035686597836653827,20.266088696232078
Emerald Airlines Uk Ltd,8339,80,59.25002037,0.007105170928168846,0.009502316189571208,11.230843026741816
British Airways,172834,4494,1189.13079306,0.0068801902001920925,0.02534286745466029,18.554971822673778
Emirates,6916,19,45.34448986,0.006556461807403124,0.0027397260273972603,15.967466743782532
Aer Lingus,25193,733,134.93953125000002,0.005356231145556306,0.028272776363496104,13.280236573651411
Loganair Ltd,27988,1133,124.62477193000001,0.0044527930516649996,0.038906630953607364,11.937651850793197
Vueling,10871,130,46.25417203,0.004254822190230889,0.011817107535678575,13.140189494986661
Virgin Atlantic Airways Ltd,11999,234,48.57660802,0.0040483880340028335,0.019128586609989374,14.111509292441037
Thy Turkish Airlines,6223,16,24.88287422,0.003998533540093203,0.0025645135438371533,13.763458139161177
Qatar Airways,5463,2,15.99999738,0.0029287932235035697,0.00036596523330283625,8.226798462383305
Air France,6425,68,17.7689779,0.002765599673151751,0.010472816879716618,12.978832684824903
Eurowings Luftverkehrs,6349,121,11.86155605,0.0018682557961883762,0.018701700154559506,16.901401795558357
Sas,6970,75,10.94455906,0.0015702380286944046,0.0106458481192335,10.962410329985653
Klm,17696,526,26.18178481,0.0014795312392631103,0.028866205685435187,12.114319620253164
Swiss Airlines,7104,140,4.80610419,0.0006765349366554054,0.01932633903920486,15.308699324324325
Lufthansa,13496,397,8.63500358,0.0006398194709543568,0.028575541639674656,13.646858328393598
