carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
TUI Airways,29455,86,843.45742654,0.028635458378543543,0.002911208151382824,44.94082498726871
Wizz Air,26017,541,586.77652564,0.022553581336818236,0.020370509827547255,33.11231118115079
United Airlines,6149,59,124.12438806,0.020186109621076597,0.009503865979381442,21.35339079525126
American Airlines,6635,75,112.31134079,0.01692710486661643,0.011177347242921014,19.037678975131875
Flybe Ltd,7484,444,125.82567401,0.016812623464724747,0.05600403632694248,23.243719935863176
Jet2.com,46129,197,672.2444519000001,0.014573141665763404,0.0042524716142123215,24.854234863101304
Loganair Ltd,31286,1125,378.86498463000004,0.012109729100236529,0.0347104378143223,20.275202966182956
Ryanair,132146,940,1454.04268639,0.01100330457516686,0.007063102054310747,24.010163001528614
easyJet,156911,2441,1460.61669489,0.009308567881729133,0.015318289070736483,21.975349083238267
British Airways,132937,3629,1233.67899431,0.009280177785793271,0.026573231990392923,20.363104327613833
Blue Islands Limited,6935,86,45.47268528,0.006556984178803172,0.012248967383563595,15.815717375630857
Aer Lingus,21519,415,128.09152571,0.005952485046238209,0.018920397556305278,14.695524884985362
Virgin Atlantic Airways Ltd,10043,135,56.15106214,0.005591064636064921,0.01326390253487915,14.363935079159614
Vueling,8116,49,44.738466700000004,0.005512378844258255,0.006001224739742805,12.29361754558896
Sas,5129,128,15.665898850000001,0.003054376847338663,0.024348487730644856,13.824137258724898
Thy Turkish Airlines,6173,30,17.84324145,0.002890529961121011,0.004836369498629695,14.984610400129597
Air France,5069,33,11.93835511,0.0023551696804103373,0.006468051744413956,12.915565200236733
Emirates,5202,8,7.9999984,0.0015378697424067666,0.0015355086372360845,10.74240676662822
Lufthansa,11450,274,14.280137719999999,0.0012471735999999998,0.023370863186625724,14.565065502183407
Klm,13155,365,13.70256549,0.001041624134549601,0.026997041420118342,12.318586088939567
Swiss Airlines,5817,65,3.92935021,0.0006754942771187897,0.011050663039782386,10.918686608217294
