carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
TUI Airways,5590,99,116.24073514,0.02079440700178891,0.01740200386711197,25.95778175313059
Jet2.com,10723,482,97.61771086,0.009103582100158538,0.043016510486390006,12.679287512822905
British Airways,62173,2152,323.7340686,0.005206988059125344,0.03345511076564322,10.37278239750374
Loganair Ltd,12341,950,56.44819181,0.004574037096669638,0.07147693928222106,7.858277287091807
Ryanair,55100,1278,248.95633469,0.004518263787477314,0.022668416758309978,7.252123411978221
easyJet,61842,1835,269.24841903,0.004353811633355971,0.028817312373384425,8.56566734581676
Wizz Air,13951,1295,56.55716973,0.00405398679162784,0.08494031221303948,7.673643466418178
Flybe Ltd,16583,986,40.16606399,0.002422122896339625,0.056121577779042635,6.365012362057529
Aer Lingus,8887,150,15.83267607,0.001781554638235625,0.016598428682084762,3.9583661528074714
Klm,7737,223,9.60432261,0.0012413496975571929,0.028015075376884423,4.01654388005687
Lufthansa,5017,196,1.0,0.00019932230416583617,0.037598311912526376,6.10723539964122
