carrier_group,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
American Airlines,7843,154,201.3442271,0.02567183821241872,0.01925722145804677,29.9546092056611
Blue Islands Limited,5176,219,105.22724670000001,0.02032983900695518,0.04059314179796108,25.12693199381762
United Airlines,7701,139,155.78073021,0.020228636567978187,0.017729591836734695,22.052590572652903
Aurigny Air Services,5365,174,75.36715269,0.014047931535880707,0.031413612565445025,15.522087604846226
TUI Airways,30812,61,309.73858324,0.010052530937297157,0.0019758364914326436,26.358172140724392
Emerald Airlines Uk Ltd,7280,241,68.3653193,0.009390840563186812,0.03204361122191198,14.50467032967033
Wizz Air,28924,127,234.8095272,0.008118155414188909,0.004371622319369385,13.235306320011064
Jet2.com,61431,141,455.56999046,0.007415962469437255,0.0022900019489378288,20.077762041965784
easyJet,195358,1774,1215.11616607,0.0062199457717114215,0.008999046324290324,16.371144258233603
Ryanair,168301,576,1045.46724967,0.006211889707547787,0.0034107664157937436,17.295625100266783
Qatar Airways,5870,19,34.87070105,0.005940494216354344,0.003226354219731703,7.455025553662692
Loganair Ltd,27737,919,147.93649462000002,0.005333543448101814,0.03207007258514796,11.072358221869704
British Airways,175350,2379,865.00808366,0.004933037260678643,0.013385547659639114,12.692512118619904
Aer Lingus,25867,663,121.71635020000001,0.004705468365098388,0.024990576705616285,12.458924498395639
Virgin Atlantic Airways Ltd,12073,198,53.63956444,0.004442935843617991,0.016135604270230624,9.403048123912864
Air France,6611,81,23.68097934,0.003582057077597943,0.01210400478182905,15.206322795341098
Emirates,6989,16,17.98947412,0.002573969683788811,0.0022840827980014277,10.302618400343396
Thy Turkish Airlines,6316,28,10.8862457,0.0017235981158961369,0.004413619167717529,9.462951234958835
Vueling,11700,88,19.72283758,0.0016857126136752137,0.007465218866644045,9.13948717948718
Klm,17701,497,24.078562050000002,0.0013602938845262982,0.027310693482800307,12.592452403818994
Eurowings Luftverkehrs,6583,68,6.9032259499999995,0.0010486443794622512,0.010224026462186137,11.083852346954275
Lufthansa,12088,181,7.86452838,0.0006506062524818002,0.01475262857608607,9.23072468563865
Sas,6450,73,3.81055351,0.0005907834899224806,0.011191169707189943,6.822480620155039
Swiss Airlines,7103,91,2.96763602,0.0004178003688582289,0.01264943008062274,10.939884555821484
