carrier_group,reporting_airport,origin_destination,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Ryanair,EDINBURGH,BERGAMO,378,1,3.96969662,0.01050184291005291,0.002638522427440633,27.08730158730159
Jet2.com,EAST MIDLANDS INTERNATIONAL,MALAGA,286,0,2.99999972,0.010489509510489511,0.0,9.741258741258742
Loganair Ltd,ABERDEEN,MANCHESTER,787,22,8.254935860000002,0.010489117992376115,0.027194066749072928,13.762388818297332
British Airways,HEATHROW,HERAKLION,191,0,2.0000000399999998,0.010471204397905758,0.0,22.67539267015707
Ryanair,MANCHESTER,BUCHAREST (OTOPENI),186,1,1.94444452,0.010454002795698926,0.0053475935828877,21.43548387096774
British Airways,GATWICK,FARO,671,4,7.0,0.010432190760059613,0.005925925925925926,15.023845007451564
Wizz Air,LUTON,KRAKOW,381,3,3.96551722,0.010408181679790027,0.0078125,9.146981627296588
Air China,GATWICK,SHANGHAI (PU DONG),385,0,3.99999953,0.010389609168831169,0.0,16.48311688311688
Ryanair,STANSTED,LIMOGES,287,3,2.9655172800000003,0.010332812822299652,0.010344827586206896,18.89547038327526
Vueling,GATWICK,ASTURIAS,291,2,3.00000007,0.010309278591065292,0.006825938566552901,14.835051546391753
Aer Lingus,GLASGOW,BELFAST CITY (GEORGE BEST),384,10,3.94017852,0.0102608815625,0.025380710659898477,16.747395833333332
easyJet,MANCHESTER,BARCELONA,383,5,3.92857145,0.010257366710182769,0.01288659793814433,23.720626631853786
Ryanair,MANCHESTER,BERLIN BRANDENBURG,575,4,5.8947370800000005,0.010251716660869567,0.0069084628670120895,19.208695652173912
Ryanair,STANSTED,NANTES,559,5,5.72159089,0.010235404096601073,0.008865248226950355,16.676207513416816
Ryanair,BOURNEMOUTH,KRAKOW,187,1,1.90909101,0.010209042834224599,0.005319148936170213,16.893048128342247
TUI Airways,GATWICK,PALMA DE MALLORCA,294,0,3.0,0.01020408163265306,0.0,34.95578231292517
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,184,3,1.87499996,0.010190217173913043,0.016042780748663103,14.331521739130435
British Airways,LONDON CITY,MALAGA,292,4,2.9722222800000004,0.010178843424657536,0.013513513513513514,23.20205479452055
easyJet,LUTON,IBIZA,194,7,1.9705882000000003,0.010157671134020621,0.03482587064676617,25.02577319587629
Ryanair,STANSTED,ZARAGOZA,197,0,2.00000013,0.010152284923857868,0.0,18.32994923857868
easyJet,MANCHESTER,VENICE,197,4,2.00000003,0.010152284416243653,0.01990049751243781,22.771573604060915
British Airways,HEATHROW,PITTSBURGH,291,4,2.94444472,0.01011836673539519,0.013559322033898305,16.896907216494846
Hainan Airlines,MANCHESTER,BEIJING,297,9,3.0000000800000004,0.010101010370370372,0.029411764705882353,23.632996632996633
easyJet,MANCHESTER,MUNICH,198,8,2.00000005,0.010101010353535354,0.038834951456310676,28.095959595959595
Jet2.com,GLASGOW,DALAMAN,198,0,1.99999999,0.01010101005050505,0.0,25.949494949494948
Jet2.com,STANSTED,ALICANTE,297,0,2.9999998900000002,0.010101009730639732,0.0,18.49158249158249
Aer Lingus,EAST MIDLANDS INTERNATIONAL,BELFAST CITY (GEORGE BEST),192,1,1.9374999800000001,0.010091145729166667,0.0051813471502590676,12.536458333333334
Aurigny Air Services,GATWICK,GUERNSEY,2117,35,21.352826089999997,0.010086360930562114,0.016263940520446097,15.968351440717997
Ryanair,STANSTED,TRIESTE (RONCHI DEI LEGIONARI),298,0,3.00000016,0.010067114630872483,0.0,16.758389261744966
Jet2.com,MANCHESTER,TENERIFE (SURREINA SOFIA),896,0,9.000000389999999,0.010044643292410713,0.0,20.532366071428573
Ryanair,MANCHESTER,BARCELONA,599,0,5.99999999,0.010016694474123539,0.0,20.72954924874791
British Airways,LONDON CITY,FLORENCE,687,12,6.87903295,0.010013148398835516,0.017167381974248927,20.08151382823872
British Airways,GATWICK,FUNCHAL,400,8,4.0000005,0.01000000125,0.0196078431372549,14.91
Ryanair,STANSTED,PALANGA,300,0,3.00000016,0.010000000533333333,0.0,23.74
Ryanair,STANSTED,RIMINI,100,1,1.0000000199999999,0.0100000002,0.009900990099009901,33.71
Ryanair,MANCHESTER,NANTES,100,0,1.0000000100000002,0.010000000100000002,0.0,22.09
easyJet,GATWICK,SALONIKA,300,3,2.99999998,0.009999999933333333,0.009900990099009901,17.723333333333333
TUI Airways,NEWCASTLE,SHARM EL SHEIKH (OPHIRA),100,1,0.99999999,0.009999999899999999,0.009900990099009901,25.34
easyJet,MANCHESTER,LYON,100,0,0.99999999,0.009999999899999999,0.0,13.24
easyJet,BRISTOL,BILBAO,100,0,0.99999999,0.009999999899999999,0.0,7.67
TUI Airways,STANSTED,PALMA DE MALLORCA,100,0,0.99999996,0.0099999996,0.0,28.21
easyJet,BRISTOL,PALMA DE MALLORCA,687,11,6.84440176,0.009962739097525474,0.015759312320916905,20.605531295487626
Ryanair,MANCHESTER,CORK,693,2,6.89285714,0.0099464027994228,0.0028776978417266188,12.535353535353535
Ryanair,LIVERPOOL (JOHN LENNON),ARRECIFE,202,0,2.00000008,0.009900990495049505,0.0,14.069306930693068
easyJet,SOUTHAMPTON,AMSTERDAM,101,3,0.99999999,0.00990099,0.028846153846153848,10.594059405940595
British Airways,HEATHROW,WASHINGTON (DULLES),880,19,8.69831444,0.009884448227272729,0.021134593993325918,17.46590909090909
Air Canada,EDINBURGH,TORONTO,170,5,1.6774193800000001,0.009867172823529412,0.02857142857142857,9.505882352941176
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,1067,50,10.504719660000001,0.00984509808809747,0.044762757385854966,13.608247422680412
Ryanair,STANSTED,KRAKOW,1008,5,9.90329529,0.009824697708333335,0.004935834155972359,19.54265873015873
Ryanair,STANSTED,ESSAOUIRA,102,0,1.0,0.00980392156862745,0.0,22.352941176470587
TUI Airways,BOURNEMOUTH,TENERIFE (SURREINA SOFIA),102,0,0.99999999,0.009803921470588235,0.0,32.68627450980392
Ryanair,MANCHESTER,VIENNA,307,0,3.00000012,0.009771987361563518,0.0,14.915309446254073
Jet2.com,MANCHESTER,IBIZA,308,0,2.99999972,0.009740258831168832,0.0,23.334415584415584
British Airways,HEATHROW,ISTANBUL (SABIHA GOKCEN),202,2,1.9666665500000002,0.009735973019801981,0.00980392156862745,11.361386138613861
Saudi Arabian Airlines,GATWICK,JEDDAH,206,1,2.00000005,0.009708738106796117,0.004830917874396135,12.902912621359222
TUI Airways,EXETER,ARRECIFE,103,0,1.0,0.009708737864077669,0.0,17.398058252427184
Ryanair,LUTON,TREVISO,103,0,1.0,0.009708737864077669,0.0,23.631067961165048
easyJet,BELFAST INTERNATIONAL,ENFIDHA - HAMMAMET INTL,103,2,1.0,0.009708737864077669,0.01904761904761905,17.271844660194176
easyJet,BIRMINGHAM,MARRAKESH,103,1,1.0,0.009708737864077669,0.009615384615384616,19.553398058252426
Ryanair,LUTON,LAS PALMAS,103,1,1.0,0.009708737864077669,0.009615384615384616,17.262135922330096
TUI Airways,NEWCASTLE,ARRECIFE,103,0,0.99999999,0.009708737766990291,0.0,26.184466019417474
British Airways,GATWICK,GEORGETOWN (GUYANA),103,0,0.99999999,0.009708737766990291,0.0,20.679611650485437
Jet2.com,MANCHESTER,SKIATHOS,104,0,1.00000005,0.009615385096153846,0.0,57.91346153846154
Jet2.com,STANSTED,MARRAKESH,104,0,1.0,0.009615384615384616,0.0,10.682692307692308
TUI Airways,GATWICK,AGADIR (AL MASSIRA),104,1,1.0,0.009615384615384616,0.009523809523809525,22.384615384615383
easyJet,MANCHESTER,JERBA,104,0,0.99999999,0.009615384519230769,0.0,20.78846153846154
easyJet,BELFAST INTERNATIONAL,HURGHADA,104,0,0.99999999,0.009615384519230769,0.0,18.653846153846153
Eurowings Luftverkehrs,EDINBURGH,COLOGNE BONN,198,3,1.9032255399999998,0.0096122502020202,0.014925373134328358,23.045454545454547
Gulf Air,HEATHROW,BAHRAIN,729,2,7.0000000799999995,0.00960219489711934,0.0027359781121751026,12.681755829903977
easyJet,BRISTOL,GENEVA,729,0,6.999999710000001,0.009602194389574761,0.0,17.334705075445815
Wizz Air,GATWICK,ISTANBUL,521,0,4.99999979,0.009596928579654511,0.0,15.013435700575815
Sunexpress,EDINBURGH,DALAMAN,105,0,1.00000005,0.009523809999999999,0.0,11.4
TUI Airways,BIRMINGHAM,HERAKLION,105,0,1.0,0.009523809523809525,0.0,22.447619047619046
Ryanair,LEEDS BRADFORD,FUERTEVENTURA,105,0,1.0,0.009523809523809525,0.0,23.2
easyJet,MANCHESTER,LAS PALMAS,105,1,1.0,0.009523809523809525,0.009433962264150943,27.847619047619048
easyJet,BRISTOL,AGADIR (AL MASSIRA),105,0,0.99999999,0.009523809428571428,0.0,9.961904761904762
easyJet,EDINBURGH,PAPHOS,105,0,0.99999999,0.009523809428571428,0.0,9.619047619047619
British Airways,GATWICK,ST KITTS,105,0,0.99999999,0.009523809428571428,0.0,23.80952380952381
easyJet,BIRMINGHAM,LISBON,105,0,0.99999999,0.009523809428571428,0.0,24.17142857142857
Aer Lingus,GLASGOW,CORK,204,5,1.93750008,0.009497549411764705,0.023923444976076555,10.799019607843137
Ryanair,STANSTED,IBIZA,422,0,3.99999998,0.009478672938388626,0.0,19.751184834123222
Ryanair,LIVERPOOL (JOHN LENNON),PALMA DE MALLORCA,211,0,1.9999999800000001,0.00947867289099526,0.0,28.554502369668246
Ryanair,STANSTED,TOULOUSE (BLAGNAC),523,1,4.95454522,0.009473317820267686,0.0019083969465648854,17.98661567877629
British Airways,GATWICK,ALICANTE,423,0,4.0000000799999995,0.009456264964539007,0.0,24.361702127659573
Wizz Air,LUTON,CRAIOVA,421,2,3.9750000300000004,0.009441805296912114,0.004728132387706856,9.413301662707838
Ryanair,LIVERPOOL (JOHN LENNON),CORK,212,0,2.0000000399999998,0.009433962452830187,0.0,10.18867924528302
easyJet,LUTON,NAPLES,212,2,1.99999994,0.009433961981132074,0.009345794392523364,15.306603773584905
Wizz Air,LUTON,LUBLIN (PORT LOTNICZY),315,2,2.96874986,0.00942460273015873,0.006309148264984227,11.453968253968254
easyJet,BIRMINGHAM,AMSTERDAM,636,8,5.9791663999999995,0.00940120503144654,0.012422360248447204,13.248427672955975
easyJet,GLASGOW,SOUTHAMPTON,320,1,3.00000016,0.0093750005,0.003115264797507788,13.840625
Jet2.com,MANCHESTER,MALAGA,427,2,4.00000002,0.009367681545667446,0.004662004662004662,18.526932084309134
Jet2.com,LEEDS BRADFORD,TENERIFE (SURREINA SOFIA),509,7,4.76450668,0.009360523929273085,0.013565891472868217,17.611001964636543
Ryanair,MANCHESTER,BELFAST INTERNATIONAL,622,5,5.81632598,0.009351006398713826,0.007974481658692184,14.630225080385852
easyJet,BIRMINGHAM,DALAMAN,107,0,1.00000008,0.009345795140186915,0.0,23.345794392523363
Ryanair,STANSTED,VASTERAS,107,0,0.99999999,0.00934579429906542,0.0,13.560747663551401
Jet2.com,MANCHESTER,ARRECIFE,536,1,4.99999995,0.009328358115671643,0.00186219739292365,21.52238805970149
Ryanair,MANCHESTER,GDANSK,215,2,2.00000001,0.009302325627906977,0.009216589861751152,25.683720930232557
Ryanair,MANCHESTER,COPENHAGEN,428,2,3.96969713,0.009274993294392523,0.004651162790697674,13.773364485981308
Ryanair,BIRMINGHAM,MALTA,216,0,2.00000012,0.009259259814814815,0.0,28.23611111111111
Wizz Air,LUTON,BRATISLAVA,325,2,3.00000011,0.00923076956923077,0.0061162079510703364,6.3076923076923075
Ryanair,MANCHESTER,MILAN (MALPENSA),429,4,3.95238102,0.00921300937062937,0.009237875288683603,27.37995337995338
Wizz Air,LUTON,ROME (FIUMICINO),109,2,1.0000002000000001,0.00917431376146789,0.018018018018018018,14.79816513761468
Ryanair,BRISTOL,PALMA DE MALLORCA,327,0,3.00000004,0.009174312048929665,0.0,26.333333333333332
Jet2.com,BELFAST INTERNATIONAL,MALAGA,109,0,1.0,0.009174311926605505,0.0,18.36697247706422
easyJet,GATWICK,PREVEZA,218,1,1.99999984,0.009174311192660552,0.0045662100456621,23.81192660550459
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),1488,25,13.64599411,0.009170694966397849,0.016523463317911435,26.379704301075268
easyJet,GATWICK,THIRA (SANTORINI),323,3,2.9512194800000002,0.009136902414860681,0.009202453987730062,19.538699690402478
TUI Airways,MANCHESTER,ARRECIFE,219,0,2.00000012,0.009132420639269407,0.0,28.447488584474886
Jet2.com,BRISTOL,ANTALYA,219,0,2.00000008,0.009132420456621004,0.0,34.35159817351598
easyJet,GATWICK,DALAMAN,651,9,5.941803930000001,0.009127194976958526,0.013636363636363636,23.96006144393241
easyJet,MANCHESTER,HAMBURG,203,7,1.85000004,0.009113300689655173,0.03333333333333333,24.926108374384235
Corendon Airlines,GATWICK,ANTALYA,110,0,1.0000000999999998,0.009090909999999999,0.0,24.79090909090909
Ryanair,BIRMINGHAM,MADRID,220,0,2.00000018,0.009090909909090908,0.0,12.49090909090909
Dan Air (Aoc) S.R.L,LUTON,BACAU,110,0,1.00000004,0.009090909454545455,0.0,14.427272727272728
TUI Airways,GATWICK,PAPHOS,220,1,1.9999999000000002,0.009090908636363637,0.004524886877828055,24.509090909090908
Ryanair,LUTON,DUBLIN,1213,0,10.999999740000002,0.009068425177246497,0.0,19.90684253915911
Cathay Pacific Airways,MANCHESTER,HONG KONG (CHEK LAP KOK),324,3,2.933333,0.009053496913580247,0.009174311926605505,17.651234567901234
Ryanair,STANSTED,LODZ LUBLINEK,332,0,3.0000002699999997,0.009036145391566264,0.0,14.322289156626505
Ryanair,LIVERPOOL (JOHN LENNON),BARCELONA,208,1,1.87500005,0.009014423317307691,0.004784688995215311,14.716346153846153
Ryanair,EAST MIDLANDS INTERNATIONAL,GIRONA,111,0,1.00000008,0.00900900972972973,0.0,23.153153153153152
Ryanair,BELFAST INTERNATIONAL,GIRONA,111,0,1.0,0.009009009009009009,0.0,8.324324324324325
Ryanair,BELFAST INTERNATIONAL,ARRECIFE,111,0,0.99999999,0.009009008918918919,0.0,21.783783783783782
easyJet,SOUTHEND,ENFIDHA - HAMMAMET INTL,111,0,0.99999996,0.00900900864864865,0.0,18.37837837837838
Jet2.com,EAST MIDLANDS INTERNATIONAL,TENERIFE (SURREINA SOFIA),445,1,3.9999996500000004,0.008988763258426968,0.002242152466367713,17.253932584269663
Air France,MANCHESTER,PARIS (CHARLES DE GAULLE),1200,13,10.78120065,0.008984333875,0.010717230008244023,22.71
Ryanair,STANSTED,CORK,1002,0,9.00000033,0.00898203625748503,0.0,13.340319361277444
Blue Islands Limited,SOUTHAMPTON,JERSEY,859,45,7.71454361,0.008980842386495925,0.049778761061946904,18.962747380675204
Ryanair,MANCHESTER,RIGA,217,1,1.94736842,0.00897404801843318,0.0045871559633027525,21.15668202764977
easyJet,BIRMINGHAM,PALMA DE MALLORCA,223,5,2.0000000600000005,0.00896861013452915,0.021929824561403508,23.04035874439462
British Airways,HEATHROW,PALMA DE MALLORCA,550,5,4.9279412,0.008959893090909091,0.009009009009009009,27.30181818181818
British Airways,HEATHROW,CORFU,335,0,3.0000001999999997,0.008955224477611939,0.0,20.77313432835821
easyJet,EDINBURGH,KRAKOW,220,2,1.9666666099999999,0.00893939368181818,0.009009009009009009,20.454545454545453
Blue Islands Limited,JERSEY,SOUTHAMPTON,863,32,7.7133388499999995,0.008937820220162224,0.035754189944134075,19.114716106604867
easyJet,MANCHESTER,SHARM EL SHEIKH (OPHIRA),224,2,2.00000012,0.008928571964285715,0.008849557522123894,26.709821428571427
Norwegian Air Shuttle,GATWICK,TRONDHEIM (VAERNES),112,1,0.99999999,0.008928571339285714,0.008849557522123894,13.178571428571429
Jet2.com,STANSTED,RHODES,224,0,1.99999986,0.008928570803571428,0.0,21.549107142857142
Jet2.com,MANCHESTER,KEFALLINIA,113,0,1.0000000999999998,0.008849558407079645,0.0,42.72566371681416
Jet2.com,MANCHESTER,DUBROVNIK,113,0,1.00000008,0.008849558230088496,0.0,21.442477876106196
Qatar Airways,HEATHROW,DOHA HAMAD,2952,10,25.95022023,0.008790725010162601,0.00337609723160027,8.832317073170731
Jet2.com,STANSTED,DUBROVNIK,114,0,1.0000000500000001,0.008771930263157895,0.0,8.631578947368421
easyJet,BIRMINGHAM,PRAGUE,114,3,0.99999999,0.008771929736842104,0.02564102564102564,28.92105263157895
Loganair Ltd,SOUTHAMPTON,JERSEY,114,2,0.9999996400000002,0.008771926666666669,0.017241379310344827,13.333333333333334
TUI Airways,GATWICK,MALAGA,106,1,0.9285714100000001,0.008760107641509435,0.009345794392523364,36.716981132075475
Ryanair,STANSTED,ATHENS,450,6,3.93939379,0.008754208422222222,0.013157894736842105,26.857777777777777
Jet2.com,MANCHESTER,LAS PALMAS,343,0,3.00000016,0.008746356151603499,0.0,31.932944606413994
British Airways,HEATHROW,MALAGA,796,6,6.95356938,0.008735639924623116,0.007481296758104738,15.64824120603015
Hisky,STANSTED,CHISINAU INTERNATIONAL,229,0,2.00000003,0.008733624585152838,0.0,23.75109170305677
Wizz Air,LUTON,WROCLAW,344,0,3.0000001000000003,0.008720930523255815,0.0,11.805232558139535
easyJet,GATWICK,PISA,687,1,5.98701211,0.00871471922852984,0.0014534883720930232,18.78165938864629
easyJet,SOUTHEND,MARRAKESH,106,1,0.9230769600000001,0.008708273207547171,0.009345794392523364,8.49056603773585
Jet2.com,STANSTED,BODRUM (MILAS),115,0,1.0000000100000002,0.008695652260869567,0.0,26.660869565217393
Ryanair,BELFAST INTERNATIONAL,BUDAPEST,115,0,1.0,0.008695652173913044,0.0,14.808695652173913
Ryanair,EDINBURGH,BUCHAREST (OTOPENI),115,0,1.0,0.008695652173913044,0.0,26.36521739130435
Jet2.com,BIRMINGHAM,PRAGUE,115,0,0.99999999,0.008695652086956522,0.0,17.973913043478262
TUI Airways,GATWICK,TENERIFE (SURREINA SOFIA),345,2,2.99999976,0.00869565147826087,0.005763688760806916,28.695652173913043
Emerald Airlines Uk Ltd,CARDIFF WALES,BELFAST CITY (GEORGE BEST),337,5,2.91987181,0.008664308041543027,0.014619883040935672,12.002967359050444
easyJet,EDINBURGH,NICE,228,1,1.96874986,0.008634867807017544,0.004366812227074236,39.10964912280702
Ryanair,LEEDS BRADFORD,GDANSK,224,1,1.9333333900000003,0.008630952633928572,0.0044444444444444444,10.928571428571429
TUI Airways,MANCHESTER,ANTALYA,116,0,1.00000004,0.00862069,0.0,25.060344827586206
easyJet,SOUTHEND,TENERIFE (SURREINA SOFIA),116,0,1.00000004,0.00862069,0.0,11.232758620689655
Ryanair,STANSTED,AARHUS (TIRSTRUP),232,0,2.0000000499999997,0.008620689870689653,0.0,13.504310344827585
Ryanair,LIVERPOOL (JOHN LENNON),REUS,116,0,1.0000000100000002,0.008620689741379311,0.0,19.586206896551722
TUI Airways,BIRMINGHAM,DALAMAN,116,0,1.0000000100000002,0.008620689741379311,0.0,20.120689655172413
Wizz Air,LIVERPOOL (JOHN LENNON),KATOWICE,116,0,0.99999999,0.008620689568965516,0.0,13.327586206896552
Loganair Ltd,JERSEY,SOUTHAMPTON,116,1,0.9999996400000002,0.00862068655172414,0.008547008547008548,13.620689655172415
easyJet,BELFAST INTERNATIONAL,MALAGA,464,2,3.98113152,0.008580024827586206,0.004291845493562232,15.997844827586206
Wizz Air,LUTON,TATRY-POPRAD,117,0,1.00000004,0.008547008888888888,0.0,10.444444444444445
United Airlines,HEATHROW,SAN FRANCISCO,929,13,7.9244871,0.00853012604951561,0.013800424628450107,13.767491926803014
TUI Airways,BIRMINGHAM,ANTALYA,118,0,1.0,0.00847457627118644,0.0,33.398305084745765
Ryanair,STANSTED,SZYMANY (MAZURY),118,0,0.9999999800000001,0.008474576101694916,0.0,17.322033898305083
Ryanair,STANSTED,BYDGOSZCZ,218,3,1.8444445200000001,0.008460754678899084,0.013574660633484163,23.706422018348626
Ryanair,STANSTED,TENERIFE (SURREINA SOFIA),810,9,6.84540909,0.008451122333333333,0.01098901098901099,12.746913580246913
Virgin Atlantic Airways Ltd,HEATHROW,MONTEGO BAY,209,22,1.7643679200000002,0.00844195177033493,0.09523809523809523,11.52153110047847
Jet2.com,EAST MIDLANDS INTERNATIONAL,ALICANTE,356,0,3.0000001500000004,0.008426966713483147,0.0,9.196629213483146
TUI Airways,GATWICK,BOA VISTA (RABIL),238,0,2.0000001999999997,0.008403362184873949,0.0,11.483193277310924
Wizz Air,GATWICK,DALAMAN,119,0,1.00000008,0.008403362016806722,0.0,16.03361344537815
Ryanair,EDINBURGH,TOULOUSE (BLAGNAC),119,1,0.9999999800000001,0.00840336117647059,0.008333333333333333,29.176470588235293
Gulf Air,GATWICK,BAHRAIN,119,1,0.99999996,0.008403361008403361,0.008333333333333333,7.605042016806722
Loganair Ltd,MANCHESTER,NEWQUAY,337,8,2.8116712,0.008343237982195845,0.02318840579710145,12.940652818991097
easyJet,ABERDEEN,LUTON,240,2,2.0000001999999997,0.008333334166666666,0.008264462809917356,14.075
Ryanair,LIVERPOOL (JOHN LENNON),ROME (CIAMPINO),120,0,1.00000008,0.008333334,0.0,11.35
TUI Airways,BIRMINGHAM,RHODES,115,0,0.95454555,0.008300396086956522,0.0,25.747826086956522
Ryanair,STANSTED,REUS,241,0,2.0,0.008298755186721992,0.0,24.514522821576765
Jet2.com,MANCHESTER,PALMA DE MALLORCA,602,1,4.99122807,0.008291076528239202,0.001658374792703151,29.970099667774086
West Jet Airlines,HEATHROW,CALGARY,355,18,2.9354837600000003,0.00826896833802817,0.04825737265415549,16.935211267605634
British Airways,HEATHROW,SYDNEY,355,9,2.93548346,0.008268967492957746,0.024725274725274724,15.152112676056339
Jet2.com,BELFAST INTERNATIONAL,ARRECIFE,242,0,1.99999992,0.008264462479338843,0.0,14.838842975206612
British Airways,HEATHROW,PHOENIX,360,4,2.9677416,0.008243726666666666,0.01098901098901099,18.461111111111112
Delta Airlines,HEATHROW,MINNEAPOLIS-ST PAUL,360,5,2.96774156,0.008243726555555555,0.0136986301369863,11.294444444444444
Jetblue Airways Corporation,HEATHROW,BOSTON,364,1,2.9999998600000004,0.008241757857142859,0.0027397260273972603,10.623626373626374
easyJet,MANCHESTER,AMSTERDAM,1749,34,14.39859784,0.008232474465408805,0.019068984856982614,22.580903373356204
British Airways,HEATHROW,NEW ORLEANS,221,5,1.81904771,0.008230985113122171,0.022123893805309734,12.39819004524887
Ryanair,EDINBURGH,PALMA DE MALLORCA,243,0,2.0000000399999998,0.008230452839506172,0.0,24.016460905349795
British Airways,HEATHROW,RIYADH,589,17,4.846591030000001,0.0082285076910017,0.028052805280528052,12.115449915110357
British Airways,HEATHROW,PHILADELPHIA INTERNATIONAL,362,2,2.96774182,0.00819818182320442,0.005494505494505495,10.994475138121548
Jet2.com,LEEDS BRADFORD,MAHON,122,0,1.00000004,0.008196721639344262,0.0,13.745901639344263
easyJet,EDINBURGH,MILAN (MALPENSA),244,1,1.9999998900000002,0.008196720860655739,0.004081632653061225,14.725409836065573
China Airlines,HEATHROW,TAIPEI,239,3,1.9545456499999998,0.008178015271966526,0.012396694214876033,25.10460251046025
easyJet,BRISTOL,BARCELONA,603,8,4.92499973,0.008167495406301824,0.01309328968903437,15.67330016583748
Shenzhen Airlines,HEATHROW,SHENZHEN (HUANGTIAN),245,1,2.0000001,0.008163265714285713,0.0040650406504065045,15.76734693877551
British Airways,HEATHROW,BUENOS AIRES,360,4,2.93649184,0.008156921777777777,0.01098901098901099,12.780555555555555
Sunexpress,STANSTED,ANTALYA,368,0,3.00000006,0.008152174076086956,0.0,21.88586956521739
Wizz Air,LUTON,KOSICE,240,2,1.9523810999999998,0.00813492125,0.008264462809917356,4.5
Ryanair,LIVERPOOL (JOHN LENNON),ALICANTE,493,0,3.99999947,0.008113589188640974,0.0,9.969574036511156
easyJet,LUTON,GLASGOW,977,4,7.91388908,0.008100193531218014,0.004077471967380225,10.971340839303991
British Airways,HEATHROW,TOKYO (HANEDA),610,11,4.91979178,0.008065232426229509,0.017713365539452495,18.736065573770492
Ryanair,EDINBURGH,PISA,124,1,1.0000000999999998,0.00806451693548387,0.008,36.25
Wizz Air,LIVERPOOL (JOHN LENNON),BUCHAREST (OTOPENI),124,0,1.0,0.008064516129032258,0.0,9.459677419354838
easyJet,EDINBURGH,CITY OF DERRY (EGLINTON),124,1,1.0,0.008064516129032258,0.008,14.016129032258064
Jet2.com,STANSTED,HERAKLION,248,0,1.99999994,0.008064515887096774,0.0,13.391129032258064
Kuwait Airways,HEATHROW,KUWAIT,748,2,6.0,0.008021390374331552,0.0026666666666666666,10.618983957219251
Ryanair,MANCHESTER,FARO,624,3,5.00000005,0.008012820592948718,0.004784688995215311,21.862179487179485
Ryanair,STANSTED,PALERMO,367,0,2.93939392,0.00800924773841962,0.0,21.771117166212534
TUI Airways,BIRMINGHAM,CANCUN,125,0,1.00000004,0.00800000032,0.0,10.856
Skyalps,GATWICK,BOLZANO,125,0,0.99999996,0.00799999968,0.0,22.28
Wizz Air,GATWICK,ROME (FIUMICINO),624,0,4.98360607,0.007986548189102565,0.0,14.440705128205128
Ryanair,LUTON,MALTA,251,0,2.00000015,0.007968128087649403,0.0,32.37848605577689
Jet2.com,STANSTED,MALAGA,251,0,2.00000013,0.007968128007968128,0.0,15.533864541832669
easyJet,LUTON,ARRECIFE,251,0,2.00000012,0.00796812796812749,0.0,15.844621513944222
British Airways,HEATHROW,MUMBAI,1002,8,7.97777826,0.007961854550898203,0.007920792079207921,11.684630738522953
Ryanair,MANCHESTER,AGADIR (AL MASSIRA),246,4,1.9583335099999999,0.007960705325203252,0.016,19.43089430894309
TUI Airways,GATWICK,ZAKINTHOS,122,2,0.96551728,0.007914076065573771,0.016129032258064516,38.31147540983606
Jet2.com,LIVERPOOL (JOHN LENNON),PALMA DE MALLORCA,253,0,2.0000001899999997,0.00790513909090909,0.0,15.980237154150197
Ryanair,STANSTED,HAMBURG,507,0,4.00000024,0.007889546824457595,0.0,25.193293885601577
Jet2.com,BIRMINGHAM,KOS,127,0,1.0000000999999998,0.007874016535433069,0.0,27.03937007874016
Loganair Ltd,EDINBURGH,NEWQUAY,127,0,1.00000004,0.007874016062992126,0.0,15.68503937007874
Ryanair,LIVERPOOL (JOHN LENNON),KRAKOW,254,0,2.0,0.007874015748031496,0.0,12.736220472440944
easyJet,BRISTOL,TENERIFE (SURREINA SOFIA),381,1,3.0,0.007874015748031496,0.002617801047120419,9.343832020997375
British Airways,GATWICK,TENERIFE (SURREINA SOFIA),510,2,3.9999998999999997,0.00784313705882353,0.00390625,17.69607843137255
Ryanair,STANSTED,SALONIKA,256,1,2.00000012,0.00781250046875,0.0038910505836575876,11.875
Ryanair,EDINBURGH,IRELAND WEST(KNOCK),128,2,0.99999999,0.007812499921875,0.015384615384615385,24.7578125
British Airways,HEATHROW,CHICAGO (O'HARE),882,26,6.887817330000001,0.007809316700680273,0.028634361233480177,19.267573696145124
Ryanair,MANCHESTER,POZNAN,114,1,0.88888888,0.0077972708771929826,0.008695652173913044,16.236842105263158
easyJet,GATWICK,OPORTO (PORTUGAL),509,9,3.96221038,0.007784303300589391,0.017374517374517374,15.151277013752456
Ryanair,LUTON,KAUNAS,386,0,3.00000016,0.007772021139896373,0.0,16.22020725388601
British Airways,HEATHROW,BRIDGETOWN,515,0,4.00000016,0.007766990601941748,0.0,10.077669902912621
British Airways,HEATHROW,VANCOUVER,515,2,3.9999999,0.007766990097087379,0.0038684719535783366,17.644660194174758
TUI Airways,GATWICK,MONTEGO BAY,129,4,1.00000004,0.007751938294573643,0.03007518796992481,22.92248062015504
easyJet,BRISTOL,MARRAKESH,129,1,1.0,0.007751937984496124,0.007692307692307693,13.37984496124031
