carrier_group,reporting_airport,origin_destination,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Wizz Air,LUTON,PALMA DE MALLORCA,140,1,1.9999997600000001,0.014285712571428572,0.0070921985815602835,26.264285714285716
British Airways,HEATHROW,DENVER INTERNATIONAL,351,4,4.99999972,0.014245013447293448,0.011267605633802818,14.632478632478632
British Airways,GATWICK,IBIZA,351,5,4.9999996,0.014245013105413104,0.014044943820224719,21.555555555555557
easyJet,MANCHESTER,COPENHAGEN,339,5,4.80078454,0.014161606312684366,0.014534883720930232,28.002949852507374
Ryanair,LEEDS BRADFORD,RIGA,208,2,2.9411765700000005,0.01414027197115385,0.009523809523809525,12.774038461538462
Ryanair,STANSTED,SALZBURG,283,1,4.00000006,0.014134275830388692,0.0035211267605633804,20.261484098939928
Jet2.com,GLASGOW,IBIZA,143,0,2.00000002,0.013986014125874125,0.0,11.72027972027972
Ryanair,BIRMINGHAM,SEVILLE,143,0,1.99999992,0.013986013426573426,0.0,26.804195804195803
British Airways,GATWICK,INNSBRUCK,143,5,1.99999986,0.013986013006993007,0.033783783783783786,21.657342657342657
British Airways,HEATHROW,HOUSTON,622,16,8.682575960000001,0.01395912533762058,0.025078369905956112,19.739549839228296
easyJet,MANCHESTER,MALAGA,501,11,6.96428609,0.013900770638722554,0.021484375,21.489021956087825
Ryanair,STANSTED,NEWQUAY,144,0,2.00000008,0.013888889444444445,0.0,19.09722222222222
Ryanair,STANSTED,FEZ,131,0,1.81746029,0.013873742671755725,0.0,26.053435114503817
easyJet,GATWICK,NICE,1340,13,18.56461558,0.013854190731343285,0.009608277900960829,31.588059701492536
Air Canada,HEATHROW,MONTREAL (DORVAL),499,19,6.90367961,0.013835029278557115,0.03667953667953668,18.617234468937877
Ryanair,MANCHESTER,RZESZOW,145,1,2.0000000300000003,0.013793103655172416,0.00684931506849315,25.579310344827586
easyJet,EDINBURGH,KEFLAVIK,145,0,1.9999999700000002,0.013793103241379312,0.0,16.724137931034484
easyJet,BRISTOL,VENICE,145,0,1.9999999700000002,0.013793103241379312,0.0,18.33103448275862
TUI Airways,MANCHESTER,CORFU,145,0,1.9999999,0.013793102758620689,0.0,43.84827586206897
British Airways,HEATHROW,ACCRA,363,1,4.99999965,0.013774103719008265,0.0027472527472527475,17.363636363636363
easyJet,GATWICK,FUNCHAL,572,16,7.8411225600000005,0.013708256223776225,0.027210884353741496,14.506993006993007
Ryanair,STANSTED,LUBECK,146,0,2.00000016,0.013698631232876712,0.0,9.650684931506849
British Airways,GATWICK,ARRECIFE,365,1,4.99999994,0.01369862997260274,0.00273224043715847,28.224657534246575
British Airways,HEATHROW,DALLAS/FORT WORTH,141,4,1.93103438,0.013695279290780142,0.027586206896551724,29.80851063829787
United Airlines,HEATHROW,HOUSTON,721,10,9.8397327,0.01364734077669903,0.013679890560875513,23.932038834951456
Ryanair,LUTON,BYDGOSZCZ,141,1,1.9230770000000001,0.013638843971631207,0.007042253521126761,14.943262411347519
Ryanair,MANCHESTER,NAPLES,220,0,3.00000001,0.013636363681818182,0.0,34.11818181818182
Ryanair,BRISTOL,PRAGUE,147,0,2.00000006,0.013605442585034015,0.0,19.98639455782313
Delta Airlines,HEATHROW,NEW YORK (JF KENNEDY),721,11,9.78896589,0.013576929112343967,0.015027322404371584,19.474341192787794
Ryanair,STANSTED,KERRY COUNTY,221,0,3.00000025,0.013574661764705882,0.0,21.556561085972852
Jet2.com,LEEDS BRADFORD,ARRECIFE,363,2,4.9062498,0.013515839669421489,0.005479452054794521,12.542699724517906
Ryanair,EDINBURGH,KRAKOW,296,1,4.00000001,0.013513513547297297,0.003367003367003367,24.72635135135135
Loganair Ltd,BELFAST CITY (GEORGE BEST),INVERNESS,148,1,1.99999999,0.013513513445945946,0.006711409395973154,9.817567567567568
Aeromexico,HEATHROW,MEXICO CITY,366,2,4.93749966,0.013490436229508197,0.005434782608695652,16.48087431693989
Air Mauritius Ltd,GATWICK,MAURITIUS,285,14,3.8416148300000006,0.013479350280701756,0.046822742474916385,14.866666666666667
