model,test_year,calibrated,n_cells,n_flights,brier_proxy,log_loss,mean_pred,mean_actual
baseline,2021,false,16316,309025.0,0.0003738152647914581,0.02395937507523715,0.0027672714970163746,0.003448908038572931
logistic,2021,false,16316,309025.0,0.00037903432461654994,0.023435581683789952,0.006253499128309932,0.003448908038572931
logistic,2021,true,16316,309025.0,0.0003702886382073105,0.023006322095811278,0.00471209285761777,0.003448908038572931
gbm,2021,false,16316,309025.0,0.0003683753334542705,0.022706860453201264,0.0047417156958275,0.003448908038572931
gbm,2021,true,16316,309025.0,0.0003716357523344368,0.0230359261559917,0.005394003070688188,0.003448908038572931
baseline,2022,false,29697,764529.0,0.0007669940185087561,0.06414889875424407,0.004295882171783226,0.0104348921364788
logistic,2022,false,29697,764529.0,0.0007426839102449838,0.058906686404536224,0.005970130370811897,0.0104348921364788
logistic,2022,true,29697,764529.0,0.0007671440140151813,0.06110349754644841,0.004014606057515941,0.0104348921364788
gbm,2022,false,29697,764529.0,0.0007438106306741534,0.05916059698701798,0.00509516729270375,0.0104348921364788
gbm,2022,true,29697,764529.0,0.0007672285511671565,0.06116175825246921,0.0036344964752840895,0.0104348921364788
baseline,2023,false,30491,894707.0,0.0004993679781379242,0.050398503696054885,0.009563198088834239,0.008984958469789552
logistic,2023,false,30491,894707.0,0.0005142258705010654,0.052111453619586585,0.00508549846968081,0.008984958469789552
logistic,2023,true,30491,894707.0,0.0004973224527085002,0.05068221560414219,0.009781294486645744,0.008984958469789552
gbm,2023,false,30491,894707.0,0.000517790810486206,0.05294520198918681,0.00421578685483592,0.008984958469789552
gbm,2023,true,30491,894707.0,0.0004979454175588467,0.05064221409410802,0.00993469095033695,0.008984958469789552
baseline,2024,false,31519,938697.0,0.0004253801169952244,0.04583731784840396,0.00881682651131726,0.00796038594730781
logistic,2024,false,31519,938697.0,0.00041792950022718546,0.04583679916435404,0.006480607321241302,0.00796038594730781
logistic,2024,true,31519,938697.0,0.00041950078373725923,0.04584740396612061,0.009576256027217286,0.00796038594730781
gbm,2024,false,31519,938697.0,0.00043602960670482586,0.04799507563701788,0.004353204684689851,0.00796038594730781
gbm,2024,true,31519,938697.0,0.00042258040539347637,0.045874347927078056,0.008407255184612931,0.00796038594730781
baseline,2025,false,32437,954753.0,0.0003885079263886867,0.03742994446055843,0.007812001668070828,0.006204974809935136
logistic,2025,false,32437,954753.0,0.00038623536267756795,0.03744892821355575,0.007610995368645355,0.006204974809935136
logistic,2025,true,32437,954753.0,0.0003879768099808552,0.03748610712236475,0.007958949890839132,0.006204974809935136
gbm,2025,false,32437,954753.0,0.00038431906369957783,0.03730306100379734,0.006108814336540108,0.006204974809935136
gbm,2025,true,32437,954753.0,0.00037893324313208985,0.036952967607336906,0.006726526652265913,0.006204974809935136
