bin,n_cells,weight_sum,mean_pred,mean_actual
0,4300,316119.0,0.0028562739440443096,0.0031837855652776326
1,2896,90427.0,0.005243153576874628,0.005593215059882557
2,3386,115874.0,0.006448231402113967,0.005765076529247286
3,9222,219414.0,0.0072912306262095,0.006633938581676648
6,3798,60995.0,0.008059043554826669,0.007463813375194688
7,2459,45218.0,0.009586057320689957,0.009252980683577336
8,3209,54755.0,0.012675391882778239,0.010807970901470185
9,3167,51951.0,0.020771133630048195,0.015840639171334527
