carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Virgin Atlantic Airways Ltd,HEATHROW,BRIDGETOWN,12,29,0,0.0,0.0,0.0,8.586206896551724
British Airways,LONDON CITY,IBIZA,8,82,2,0.0,0.0,0.023809523809523808,18.0
Vueling,HEATHROW,BILBAO,12,31,0,0.0,0.0,0.0,6.0
Ryanair,EDINBURGH,TENERIFE (SURREINA SOFIA),3,33,0,0.0,0.0,0.0,13.121212121212121
British Airways,HEATHROW,BUDAPEST,2,81,0,0.0,0.0,0.0,4.0
Aurigny Air Services,MANCHESTER,GUERNSEY,7,50,2,0.0,0.0,0.038461538461538464,15.0
Virgin Atlantic Airways Ltd,HEATHROW,BOSTON,10,54,1,0.0,0.0,0.01818181818181818,5.0
Ryanair,STANSTED,RZESZOW,4,34,0,0.0,0.0,0.0,6.0
Jet2.com,GLASGOW,TENERIFE (SURREINA SOFIA),7,40,0,0.0,0.0,0.0,2.0
British Airways,HEATHROW,PITTSBURGH,5,31,0,0.0,0.0,0.0,19.0
Virgin Atlantic Airways Ltd,HEATHROW,TAMPA,5,31,0,0.0,0.0,0.0,1.0
Ryanair,MANCHESTER,MALAGA,5,52,0,0.0,0.0,0.0,13.0
British Airways,HEATHROW,ABUJA,4,30,0,0.0,0.0,0.0,2.0
Klm,BIRMINGHAM,AMSTERDAM,5,144,2,0.0,0.0,0.0136986301369863,10.0
Cathay Pacific Airways,HEATHROW,HONG KONG (CHEK LAP KOK),6,146,0,0.0,0.0,0.0,12.0
Loganair Ltd,MANCHESTER,ABERDEEN,10,80,1,0.0,0.0,0.012345679012345678,14.0
Wizz Air,LUTON,TIMISOARA,1,30,0,0.0,0.0,0.0,9.0
Icelandair,GATWICK,KEFLAVIK,9,35,1,0.0,0.0,0.027777777777777776,6.0
Swiss Airlines,BIRMINGHAM,ZURICH,7,40,0,0.0,0.0,0.0,22.0
Emirates,BIRMINGHAM,DUBAI,12,62,0,0.0,0.0,0.0,7.0
Lufthansa,EDINBURGH,FRANKFURT MAIN,3,70,2,0.0,0.0,0.027777777777777776,2.0
easyJet,BRISTOL,BARCELONA,12,40,0,0.0,0.0,0.0,16.3
Loganair Ltd,HEATHROW,CITY OF DERRY (EGLINTON),5,88,0,0.0,0.0,0.0,11.0
British Airways,HEATHROW,FRANKFURT MAIN,1,127,3,0.0,0.0,0.023076923076923078,8.0
Aurigny Air Services,LONDON CITY,GUERNSEY,12,29,3,0.0,0.0,0.09375,10.0
Lufthansa,HEATHROW,MUNICH,4,264,0,0.0,0.0,0.0,2.0
easyJet,LUTON,IBIZA,5,28,0,0.0,0.0,0.0,17.0
easyJet,LIVERPOOL (JOHN LENNON),ISLE OF MAN,12,55,2,0.0,0.0,0.03508771929824561,7.0
easyJet,LUTON,GENEVA,2,185,0,0.0,0.0,0.0,19.0
Air France,NEWCASTLE,PARIS (CHARLES DE GAULLE),10,75,1,0.0,0.0,0.013157894736842105,17.0
British Airways,GATWICK,CATANIA (FONTANAROSSA),5,40,0,0.0,0.0,0.0,15.0
Blue Islands Limited,JERSEY,BRISTOL,10,30,0,0.0,0.0,0.0,13.0
Ryanair,NEWCASTLE,DUBLIN,12,64,0,0.0,0.0,0.0,8.0
easyJet,GATWICK,LISBON,5,94,0,0.0,0.0,0.0,16.0
easyJet,GATWICK,SEVILLE,4,60,0,0.0,0.0,0.0,8.0
British Airways,GATWICK,PAPHOS,7,29,1,0.0,0.0,0.03333333333333333,33.0
Ryanair,LEEDS BRADFORD,KRAKOW,10,28,1,0.0,0.0,0.034482758620689655,2.0
easyJet,GLASGOW,PARIS (CHARLES DE GAULLE),3,52,0,0.0,0.0,0.0,9.0
easyJet,EDINBURGH,MILAN (MALPENSA),2,26,0,0.0,0.0,0.0,6.0
easyJet,LIVERPOOL (JOHN LENNON),MALAGA,8,49,0,0.0,0.0,0.0,13.0
British Airways,GATWICK,VANCOUVER,8,31,0,0.0,0.0,0.0,16.0
easyJet,GATWICK,FUNCHAL,9,48,1,0.0,0.0,0.02040816326530612,17.0
Jet2.com,LEEDS BRADFORD,MALAGA,3,32,0,0.0,0.0,0.0,3.0
Ryanair,BOURNEMOUTH,FARO,6,26,0,0.0,0.0,0.0,5.0
British Airways,EDINBURGH,HEATHROW,9,314,8,0.0,0.0,0.024844720496894408,17.0
easyJet,GLASGOW,STANSTED,11,53,0,0.0,0.0,0.0,4.0
British Airways,LONDON CITY,MILAN (LINATE),1,26,0,0.0,0.0,0.0,4.0
easyJet,LIVERPOOL (JOHN LENNON),JERSEY,7,25,1,0.0,0.0,0.038461538461538464,9.0
Jet2.com,MANCHESTER,LAS PALMAS,7,31,0,0.0,0.0,0.0,36.0
Egypt Air,HEATHROW,CAIRO,7,93,0,0.0,0.0,0.0,10.0
Ryanair,LEEDS BRADFORD,DUBLIN,6,89,1,0.0,0.0,0.011111111111111112,10.0
easyJet,EDINBURGH,BALE MULHOUSE,8,27,0,0.0,0.0,0.0,4.0
Vueling,EDINBURGH,BARCELONA,10,27,0,0.0,0.0,0.0,6.0
Wizz Air,GATWICK,KRAKOW,10,40,0,0.0,0.0,0.0,8.0
British Airways,EDINBURGH,LONDON CITY,8,139,0,0.0,0.0,0.0,12.0
Ryanair,STANSTED,BOLOGNA,11,48,0,0.0,0.0,0.0,7.0
easyJet,BELFAST CITY (GEORGE BEST),LIVERPOOL (JOHN LENNON),7,26,0,0.0,0.0,0.0,11.0
British Airways,HEATHROW,MARSEILLE,1,51,1,0.0,0.0,0.019230769230769232,13.0
easyJet,JERSEY,MANCHESTER,10,25,0,0.0,0.0,0.0,15.0
British Airways,LONDON CITY,ZURICH,2,62,0,0.0,0.0,0.0,7.0
easyJet,GATWICK,VALENCIA,8,71,0,0.0,0.0,0.0,18.0
Srilankan Airlines,HEATHROW,COLOMBO,10,32,0,0.0,0.0,0.0,15.0
easyJet,JERSEY,LIVERPOOL (JOHN LENNON),6,27,0,0.0,0.0,0.0,8.0
Ryanair,STANSTED,TOULOUSE (BLAGNAC),5,42,1,0.0,0.0,0.023255813953488372,12.0
Ryanair,MANCHESTER,BERLIN BRANDENBURG,6,52,0,0.0,0.0,0.0,12.923076923076923
Swiss Airlines,MANCHESTER,ZURICH,8,66,0,0.0,0.0,0.0,20.0
easyJet,LUTON,GLASGOW,4,90,0,0.0,0.0,0.0,4.0
Loganair Ltd,ISLE OF MAN,LIVERPOOL (JOHN LENNON),4,52,0,0.0,0.0,0.0,15.0
easyJet,GATWICK,MARRAKESH,8,62,0,0.0,0.0,0.0,7.0
Jet2.com,EAST MIDLANDS INTERNATIONAL,ALICANTE,6,34,0,0.0,0.0,0.0,7.0
British Airways,HEATHROW,MILAN (MALPENSA),2,116,0,0.0,0.0,0.0,5.0
Ryanair,STANSTED,TARBES-LOURDES INTERNATIONAL,10,31,0,0.0,0.0,0.0,10.129032258064516
Sas,HEATHROW,COPENHAGEN,3,100,7,0.0,0.0,0.06542056074766354,2.0
easyJet,MANCHESTER,AMSTERDAM,3,151,0,0.0,0.0,0.0,9.211920529801324
Eastern Airways,GATWICK,NEWQUAY,10,40,16,0.0,0.0,0.2857142857142857,18.0
Air Portugal,HEATHROW,LISBON,6,189,0,0.0,0.0,0.0,15.0
Cathay Pacific Airways,HEATHROW,HONG KONG (CHEK LAP KOK),3,150,5,0.0,0.0,0.03225806451612903,3.0
British Airways,GLASGOW,LONDON CITY,10,126,2,0.0,0.0,0.015625,7.0
Wizz Air,GATWICK,PRAGUE,3,26,0,0.0,0.0,0.0,5.0
easyJet,SOUTHAMPTON,GLASGOW,6,29,0,0.0,0.0,0.0,7.0
Ryanair,BOURNEMOUTH,ALICANTE,12,26,0,0.0,0.0,0.0,9.0
Ryanair,EDINBURGH,BARCELONA,12,38,0,0.0,0.0,0.0,15.0
easyJet,GATWICK,KEFLAVIK,3,30,0,0.0,0.0,0.0,8.0
easyJet,BRISTOL,MADRID,12,26,0,0.0,0.0,0.0,13.0
Air Transat,GATWICK,TORONTO,10,27,0,0.0,0.0,0.0,23.0
British Airways,GATWICK,GLASGOW,11,30,0,0.0,0.0,0.0,1.0
easyJet,LUTON,MAHON,8,36,0,0.0,0.0,0.0,16.0
Ryanair,MANCHESTER,BERGAMO,7,49,0,0.0,0.0,0.0,47.0
Aer Lingus,MANCHESTER,ORLANDO,7,31,0,0.0,0.0,0.0,12.0
British Airways,HEATHROW,COLOGNE BONN,3,50,4,0.0,0.0,0.07407407407407407,11.0
Icelandair,GLASGOW,KEFLAVIK,4,29,0,0.0,0.0,0.0,5.0
British Airways,GLASGOW,GATWICK,9,25,0,0.0,0.0,0.0,6.0
British Airways,HEATHROW,BALE MULHOUSE,10,95,2,0.0,0.0,0.020618556701030927,8.0
British Airways,HEATHROW,MUNICH,5,137,1,0.0,0.0,0.007246376811594203,10.0
Aer Lingus,HEATHROW,DUBLIN,12,293,2,0.0,0.0,0.006779661016949152,15.0
Jet2.com,BIRMINGHAM,FARO,5,32,0,0.0,0.0,0.0,6.0
Sunexpress,GATWICK,DALAMAN,6,31,0,0.0,0.0,0.0,12.0
easyJet,LUTON,PRAGUE,7,25,1,0.0,0.0,0.038461538461538464,29.0
Ryanair,BIRMINGHAM,BEAUVAIS,7,31,0,0.0,0.0,0.0,14.0
British Airways,HEATHROW,ZURICH,2,185,1,0.0,0.0,0.005376344086021506,4.972972972972973
easyJet,LIVERPOOL (JOHN LENNON),TENERIFE (SURREINA SOFIA),8,26,0,0.0,0.0,0.0,13.0
Wizz Air,LUTON,CRAIOVA,9,39,0,0.0,0.0,0.0,9.0
Lufthansa,EDINBURGH,MUNICH,8,34,0,0.0,0.0,0.0,20.0
Air France,HEATHROW,NICE,9,30,0,0.0,0.0,0.0,9.0
Ryanair,EDINBURGH,ROME (CIAMPINO),10,34,0,0.0,0.0,0.0,13.0
Emirates,GLASGOW,DUBAI,3,31,0,0.0,0.0,0.0,6.0
Ryanair,BIRMINGHAM,KRAKOW,6,30,0,0.0,0.0,0.0,12.0
easyJet,BELFAST INTERNATIONAL,PARIS (CHARLES DE GAULLE),4,30,0,0.0,0.0,0.0,13.733333333333333
Ryanair,MANCHESTER,MADRID,10,33,0,0.0,0.0,0.0,22.0
Egypt Air,MANCHESTER,CAIRO,4,30,0,0.0,0.0,0.0,5.0
Eurowings Luftverkehrs,HEATHROW,COLOGNE BONN,8,78,0,0.0,0.0,0.0,9.0
Swiss Airlines,HEATHROW,GENEVA,3,147,8,0.0,0.0,0.05161290322580645,11.0
British Airways,HEATHROW,JOHANNESBURG,9,60,0,0.0,0.0,0.0,4.0
Wizz Air,LUTON,KAUNAS,3,31,0,0.0,0.0,0.0,16.0
Ryanair,LEEDS BRADFORD,DUBLIN,7,93,0,0.0,0.0,0.0,12.0
easyJet,GATWICK,PREVEZA,9,38,0,0.0,0.0,0.0,21.0
easyJet,EDINBURGH,AMSTERDAM,11,69,0,0.0,0.0,0.0,10.173913043478262
Jet2.com,GLASGOW,MALAGA,6,26,0,0.0,0.0,0.0,15.0
British Airways,MANCHESTER,HEATHROW,9,187,2,0.0,0.0,0.010582010582010581,19.0
easyJet,GATWICK,BODRUM (MILAS),6,45,0,0.0,0.0,0.0,27.0
British Airways,NEWCASTLE,HEATHROW,7,156,3,0.0,0.0,0.018867924528301886,11.0
Sunexpress,LUTON,ANTALYA,8,31,0,0.0,0.0,0.0,10.0
easyJet,BRISTOL,BARCELONA,10,60,1,0.0,0.0,0.01639344262295082,13.666666666666666
TUI Airways,GATWICK,ANTALYA,9,29,0,0.0,0.0,0.0,39.0
Air China,HEATHROW,BEIJING,6,60,0,0.0,0.0,0.0,6.0
Virgin Atlantic Airways Ltd,HEATHROW,SEATTLE (TACOMA),9,30,0,0.0,0.0,0.0,4.0
British Airways,HEATHROW,BANGALORE (BENGALURU),10,31,0,0.0,0.0,0.0,8.0
Lufthansa,MANCHESTER,FRANKFURT MAIN,7,116,3,0.0,0.0,0.025210084033613446,13.0
Scandinavian Airlines Ireland Ltd,HEATHROW,OSLO (GARDERMOEN),2,30,0,0.0,0.0,0.0,2.0
Japan Airlines,HEATHROW,TOKYO (HANEDA),1,62,0,0.0,0.0,0.0,3.0
Lufthansa,GLASGOW,FRANKFURT MAIN,4,59,0,0.0,0.0,0.0,5.0
Ryanair,LIVERPOOL (JOHN LENNON),ALICANTE,9,45,0,0.0,0.0,0.0,14.0
Ryanair,BELFAST INTERNATIONAL,EDINBURGH,12,30,0,0.0,0.0,0.0,22.0
easyJet,MANCHESTER,PALMA DE MALLORCA,4,60,0,0.0,0.0,0.0,8.75
Jet2.com,MANCHESTER,FUERTEVENTURA,8,31,0,0.0,0.0,0.0,21.0
American Airlines,EDINBURGH,PHILADELPHIA INTERNATIONAL,6,30,0,0.0,0.0,0.0,8.0
Ryanair,BRISTOL,KRAKOW,2,28,0,0.0,0.0,0.0,10.0
British Airways,LONDON CITY,DUBLIN,8,83,0,0.0,0.0,0.0,7.0
easyJet,MANCHESTER,MILAN (LINATE),4,30,0,0.0,0.0,0.0,8.0
Emirates,HEATHROW,DUBAI,8,186,0,0.0,0.0,0.0,12.0
TUI Airways,EAST MIDLANDS INTERNATIONAL,PALMA DE MALLORCA,7,35,0,0.0,0.0,0.0,17.0
TUI Airways,MANCHESTER,CANCUN,10,31,0,0.0,0.0,0.0,14.0
Jet2.com,EAST MIDLANDS INTERNATIONAL,DALAMAN,6,30,0,0.0,0.0,0.0,15.0
Jet2.com,STANSTED,RHODES,9,37,0,0.0,0.0,0.0,21.0
China Southern,HEATHROW,BEIJING DAXING INTERNATIONAL AIRPORT,7,31,0,0.0,0.0,0.0,2.0
Ryanair,EDINBURGH,CORK,2,34,0,0.0,0.0,0.0,13.764705882352942
Ryanair,STANSTED,TENERIFE (SURREINA SOFIA),7,62,0,0.0,0.0,0.0,13.0
easyJet,LIVERPOOL (JOHN LENNON),TENERIFE (SURREINA SOFIA),4,26,0,0.0,0.0,0.0,9.0
Ryanair,STANSTED,BOLOGNA,2,42,0,0.0,0.0,0.0,4.857142857142857
Jet2.com,BIRMINGHAM,DALAMAN,10,32,0,0.0,0.0,0.0,12.0
Ryanair,STANSTED,MILAN (MALPENSA),6,87,2,0.0,0.0,0.02247191011235955,28.0
Sas,MANCHESTER,COPENHAGEN,5,56,0,0.0,0.0,0.0,3.0
easyJet,MANCHESTER,BELFAST INTERNATIONAL,12,114,2,0.0,0.0,0.017241379310344827,32.0
British Airways,HEATHROW,LOS ANGELES INTERNATIONAL,12,87,1,0.0,0.0,0.011363636363636364,10.0
easyJet,STANSTED,GLASGOW,2,52,0,0.0,0.0,0.0,2.0
Ryanair,EDINBURGH,KRAKOW,5,27,0,0.0,0.0,0.0,12.0
Ryanair,STANSTED,PALERMO,10,29,0,0.0,0.0,0.0,18.0
Sas,MANCHESTER,OSLO (GARDERMOEN),11,37,0,0.0,0.0,0.0,7.0
Ryanair,BELFAST INTERNATIONAL,ALICANTE,11,31,0,0.0,0.0,0.0,7.290322580645161
Ryanair,STANSTED,TENERIFE (SURREINA SOFIA),10,66,0,0.0,0.0,0.0,12.0
easyJet,GATWICK,ISLE OF MAN,6,63,0,0.0,0.0,0.0,13.0
Lufthansa,HEATHROW,MUNICH,12,105,0,0.0,0.0,0.0,14.0
Ryanair,BIRMINGHAM,CORK,12,26,0,0.0,0.0,0.0,15.0
Ryanair,STANSTED,GDANSK,12,62,0,0.0,0.0,0.0,6.0
Vueling,HEATHROW,BILBAO,9,29,1,0.0,0.0,0.03333333333333333,11.0
British Airways,HEATHROW,RIGA,1,27,0,0.0,0.0,0.0,8.0
British Airways,HEATHROW,MARSEILLE,2,51,0,0.0,0.0,0.0,2.0
British Airways,HEATHROW,MALE INTERNATIONAL,2,28,0,0.0,0.0,0.0,6.0
easyJet,BELFAST INTERNATIONAL,GATWICK,8,110,0,0.0,0.0,0.0,11.0
easyJet,MANCHESTER,CORFU,10,31,0,0.0,0.0,0.0,32.0
Blue Islands Limited,JERSEY,GUERNSEY,11,39,4,0.0,0.0,0.09302325581395349,3.0
Brussels Airlines,EDINBURGH,BRUSSELS,5,31,0,0.0,0.0,0.0,9.0
easyJet,EDINBURGH,GENEVA,8,66,0,0.0,0.0,0.0,25.606060606060606
easyJet,LUTON,MADRID,12,25,0,0.0,0.0,0.0,6.0
easyJet,GATWICK,PALERMO,9,30,0,0.0,0.0,0.0,23.0
easyJet,GATWICK,MARRAKESH,5,79,0,0.0,0.0,0.0,8.0
Sas,HEATHROW,OSLO (GARDERMOEN),9,110,0,0.0,0.0,0.0,12.0
British Airways,GATWICK,KOS,9,30,0,0.0,0.0,0.0,30.0
Klm,NEWCASTLE,AMSTERDAM,3,151,3,0.0,0.0,0.01948051948051948,12.0
easyJet,LIVERPOOL (JOHN LENNON),AMSTERDAM,12,55,0,0.0,0.0,0.0,12.0
TUI Airways,GATWICK,BRIDGETOWN,12,25,0,0.0,0.0,0.0,12.0
Jet2.com,BIRMINGHAM,ANTALYA,6,30,0,0.0,0.0,0.0,65.0
Ryanair,STANSTED,LAS PALMAS,6,27,0,0.0,0.0,0.0,14.0
Jet2.com,GLASGOW,PALMA DE MALLORCA,6,53,0,0.0,0.0,0.0,14.0
British Airways,HEATHROW,COPENHAGEN,1,182,9,0.0,0.0,0.04712041884816754,4.0
TUI Airways,MANCHESTER,MAHON,7,26,0,0.0,0.0,0.0,35.0
China Southern,HEATHROW,BEIJING DAXING INTERNATIONAL AIRPORT,4,30,0,0.0,0.0,0.0,3.0
Ryanair,STANSTED,SEVILLE,6,34,0,0.0,0.0,0.0,7.0
Jet2.com,MANCHESTER,CORFU,7,42,0,0.0,0.0,0.0,41.0
Ryanair,EDINBURGH,DUBLIN,11,123,0,0.0,0.0,0.0,12.894308943089431
easyJet,GLASGOW,BRISTOL,10,95,1,0.0,0.0,0.010416666666666666,9.0
China Eastern Airlines,GATWICK,SHANGHAI (PU DONG),11,41,0,0.0,0.0,0.0,11.0
Jet2.com,BIRMINGHAM,PALMA DE MALLORCA,7,62,0,0.0,0.0,0.0,44.0
Ryanair,STANSTED,NAPLES,5,44,0,0.0,0.0,0.0,17.0
British Airways,HEATHROW,FLORENCE,4,60,0,0.0,0.0,0.0,5.0
Norse Atlantic Uk Ltd,GATWICK,ORLANDO,10,26,0,0.0,0.0,0.0,10.0
Ryanair,STANSTED,MARRAKESH,11,59,0,0.0,0.0,0.0,7.0
Air Canada,HEATHROW,CALGARY,4,30,0,0.0,0.0,0.0,2.0
easyJet,BIRMINGHAM,GENEVA,2,71,0,0.0,0.0,0.0,12.183098591549296
British Airways,HEATHROW,BALTIMORE,3,26,1,0.0,0.0,0.037037037037037035,19.0
Ryanair,STANSTED,BERLIN BRANDENBURG,4,94,0,0.0,0.0,0.0,9.0
Eurowings Luftverkehrs,HEATHROW,COLOGNE BONN,11,58,0,0.0,0.0,0.0,13.0
Jet2.com,BIRMINGHAM,DALAMAN,9,30,0,0.0,0.0,0.0,15.0
easyJet,BRISTOL,PARIS (CHARLES DE GAULLE),6,70,2,0.0,0.0,0.027777777777777776,14.7
Virgin Atlantic Airways Ltd,HEATHROW,MIAMI INTERNATIONAL,6,55,3,0.0,0.0,0.05172413793103448,3.0
Delta Airlines,HEATHROW,DETROIT,7,31,0,0.0,0.0,0.0,12.0
easyJet,BELFAST INTERNATIONAL,PARIS (CHARLES DE GAULLE),5,27,1,0.0,0.0,0.03571428571428571,14.037037037037036
British Airways,HEATHROW,HYDERABAD ( RAJIV GHANDI ),4,30,0,0.0,0.0,0.0,4.0
Ryanair,BIRMINGHAM,MALAGA,4,43,0,0.0,0.0,0.0,21.0
easyJet,GATWICK,VERONA VILLAFRANCA,2,27,0,0.0,0.0,0.0,20.0
British Airways,HEATHROW,LAGOS,3,28,3,0.0,0.0,0.0967741935483871,1.0
Virgin Atlantic Airways Ltd,HEATHROW,TAMPA,9,29,0,0.0,0.0,0.0,0.0
Ryanair,STANSTED,PESCARA,6,30,0,0.0,0.0,0.0,12.0
British Airways,HEATHROW,BALE MULHOUSE,6,114,2,0.0,0.0,0.017241379310344827,4.0
easyJet,MANCHESTER,MILAN (MALPENSA),10,32,0,0.0,0.0,0.0,25.1875
British Airways,HEATHROW,NAPLES,5,93,0,0.0,0.0,0.0,13.0
Ryanair,MANCHESTER,MURCIA INTERNATIONAL,6,35,0,0.0,0.0,0.0,9.457142857142857
easyJet,BRISTOL,MALAGA,3,45,0,0.0,0.0,0.0,10.933333333333334
easyJet,GATWICK,PARIS (CHARLES DE GAULLE),12,138,2,0.0,0.0,0.014285714285714285,19.0
easyJet,GATWICK,PAPHOS,3,33,0,0.0,0.0,0.0,3.0
British Airways,GATWICK,HERAKLION,8,54,0,0.0,0.0,0.0,18.0
Ryanair,STANSTED,MEMMINGEN ALLGAU,4,30,0,0.0,0.0,0.0,13.0
Lufthansa,BIRMINGHAM,MUNICH,9,26,0,0.0,0.0,0.0,13.0
Ryanair,STANSTED,ZAGREB,4,42,0,0.0,0.0,0.0,3.0
Ryanair,STANSTED,KARLSRUHE/BADEN BADEN,6,42,0,0.0,0.0,0.0,18.0
Finnair,HEATHROW,HELSINKI,7,180,5,0.0,0.0,0.02702702702702703,8.0
Ryanair,STANSTED,IRELAND WEST(KNOCK),9,42,0,0.0,0.0,0.0,17.0
easyJet,EDINBURGH,BERLIN BRANDENBURG,3,30,1,0.0,0.0,0.03225806451612903,4.4
easyJet,GATWICK,NICE,2,55,0,0.0,0.0,0.0,10.0
British Airways,HEATHROW,HANOVER,11,58,0,0.0,0.0,0.0,7.0
Ryanair,STANSTED,NUREMBERG,11,57,1,0.0,0.0,0.017241379310344827,10.228070175438596
Loganair Ltd,ABERDEEN,KIRKWALL,5,71,2,0.0,0.0,0.0273972602739726,2.0
Swiss Airlines,HEATHROW,ZURICH,4,206,2,0.0,0.0,0.009615384615384616,9.0
easyJet,ABERDEEN,GATWICK,6,60,0,0.0,0.0,0.0,8.0
easyJet,BELFAST CITY (GEORGE BEST),BRISTOL,12,28,0,0.0,0.0,0.0,19.0
easyJet,LIVERPOOL (JOHN LENNON),MALAGA,6,51,0,0.0,0.0,0.0,9.0
Wizz Air,GATWICK,MALAGA,5,44,0,0.0,0.0,0.0,13.0
British Airways,HEATHROW,DOHA HAMAD,9,51,1,0.0,0.0,0.019230769230769232,7.0
Ryanair,STANSTED,MADRID,10,97,0,0.0,0.0,0.0,28.0
Eurowings Luftverkehrs,EDINBURGH,COLOGNE BONN,5,31,0,0.0,0.0,0.0,15.0
Aurigny Air Services,LONDON CITY,GUERNSEY,10,55,6,0.0,0.0,0.09836065573770492,3.0
Loganair Ltd,BIRMINGHAM,ISLE OF MAN,8,26,0,0.0,0.0,0.0,8.0
TUI Airways,GATWICK,TENERIFE (SURREINA SOFIA),3,29,0,0.0,0.0,0.0,21.0
Ryanair,STANSTED,BARI (PALESE),9,26,0,0.0,0.0,0.0,38.0
easyJet,LUTON,GENEVA,6,41,0,0.0,0.0,0.0,30.0
Jet2.com,STANSTED,KOS,7,32,0,0.0,0.0,0.0,22.0
easyJet,BIRMINGHAM,EDINBURGH,5,84,0,0.0,0.0,0.0,12.0
Jetblue Airways Corporation,HEATHROW,BOSTON,5,31,0,0.0,0.0,0.0,3.0
British Airways,BELFAST CITY (GEORGE BEST),LONDON CITY,4,71,0,0.0,0.0,0.0,6.0
Klm Cityhopper,ABERDEEN,AMSTERDAM,12,80,0,0.0,0.0,0.0,7.0
Sas,ABERDEEN,STAVANGER,12,33,1,0.0,0.0,0.029411764705882353,4.0
British Airways,HEATHROW,ATLANTA,4,29,1,0.0,0.0,0.03333333333333333,14.0
TUI Airways,MANCHESTER,PAPHOS,7,31,0,0.0,0.0,0.0,30.0
Jet2.com,BIRMINGHAM,ARRECIFE,10,32,0,0.0,0.0,0.0,5.0
British Airways,LONDON CITY,MILAN (LINATE),10,78,1,0.0,0.0,0.012658227848101266,5.0
Jet2.com,NEWCASTLE,ARRECIFE,2,28,0,0.0,0.0,0.0,5.0
Air Portugal,GATWICK,OPORTO (PORTUGAL),3,39,2,0.0,0.0,0.04878048780487805,8.0
British Airways,HEATHROW,JOHANNESBURG,12,60,1,0.0,0.0,0.01639344262295082,6.0
British Airways,HEATHROW,DUBAI,6,82,8,0.0,0.0,0.08888888888888889,23.0
Thy Turkish Airlines,HEATHROW,ISTANBUL,5,199,0,0.0,0.0,0.0,9.0
Virgin Atlantic Airways Ltd,HEATHROW,BANGALORE (BENGALURU),10,31,0,0.0,0.0,0.0,7.0
Ryanair,STANSTED,BARI (PALESE),6,25,0,0.0,0.0,0.0,31.0
British Airways,GATWICK,ARRECIFE,8,26,1,0.0,0.0,0.037037037037037035,19.0
easyJet,GATWICK,GIBRALTAR,10,38,0,0.0,0.0,0.0,9.0
easyJet,EDINBURGH,LUTON,7,94,0,0.0,0.0,0.0,22.0
British Airways,HEATHROW,PHOENIX,10,31,0,0.0,0.0,0.0,27.0
Ryanair,EDINBURGH,CORK,8,40,0,0.0,0.0,0.0,13.75
Virgin Atlantic Airways Ltd,HEATHROW,DELHI,9,60,0,0.0,0.0,0.0,7.0
British Airways,HEATHROW,MEXICO CITY,5,31,0,0.0,0.0,0.0,11.0
Vueling,GATWICK,FLORENCE,9,73,0,0.0,0.0,0.0,11.0
Blue Islands Limited,SOUTHAMPTON,GUERNSEY,11,27,7,0.0,0.0,0.20588235294117646,6.0
easyJet,GATWICK,FUERTEVENTURA,5,39,0,0.0,0.0,0.0,12.0
Srilankan Airlines,HEATHROW,COLOMBO,12,39,0,0.0,0.0,0.0,12.0
Ryanair,STANSTED,KAUNAS,5,27,0,0.0,0.0,0.0,15.0
Sky Express,GATWICK,ATHENS,2,27,0,0.0,0.0,0.0,2.0
Loganair Ltd,SOUTHAMPTON,JERSEY,11,38,2,0.0,0.0,0.05,10.0
Loganair Ltd,ABERDEEN,BIRMINGHAM,8,51,2,0.0,0.0,0.03773584905660377,7.0
Sunexpress,EDINBURGH,ANTALYA,6,30,0,0.0,0.0,0.0,10.0
Ryanair,MANCHESTER,PALMA DE MALLORCA,3,25,0,0.0,0.0,0.0,9.0
Vueling,GATWICK,ROME (FIUMICINO),5,88,0,0.0,0.0,0.0,7.0
easyJet,EDINBURGH,BRISTOL,10,130,0,0.0,0.0,0.0,8.0
easyJet,LUTON,NAPLES,6,29,0,0.0,0.0,0.0,9.0
Jet2.com,STANSTED,FARO,6,38,0,0.0,0.0,0.0,14.0
Emirates,EDINBURGH,DUBAI,7,31,0,0.0,0.0,0.0,3.0
Vueling,GATWICK,FLORENCE,4,72,1,0.0,0.0,0.0136986301369863,2.0
Wizz Air,LUTON,LARNACA,4,30,0,0.0,0.0,0.0,1.0
British Airways,HEATHROW,MUMBAI,9,88,2,0.0,0.0,0.022222222222222223,10.0
easyJet,EDINBURGH,MILAN (LINATE),9,30,0,0.0,0.0,0.0,12.0
Loganair Ltd,MANCHESTER,NEWQUAY,7,30,1,0.0,0.0,0.03225806451612903,5.0
Swiss Airlines,GATWICK,ZURICH,8,27,0,0.0,0.0,0.0,19.0
British Airways,HEATHROW,SAN DIEGO,9,55,1,0.0,0.0,0.017857142857142856,9.0
easyJet,GATWICK,FUERTEVENTURA,7,42,1,0.0,0.0,0.023255813953488372,20.0
Norwegian Air Shuttle Aoc As,GATWICK,OSLO (GARDERMOEN),10,107,1,0.0,0.0,0.009259259259259259,5.0
Jet2.com,EAST MIDLANDS INTERNATIONAL,ARRECIFE,1,31,0,0.0,0.0,0.0,10.0
Wizz Air,LUTON,BACAU,12,37,0,0.0,0.0,0.0,9.0
Emirates,GLASGOW,DUBAI,2,28,0,0.0,0.0,0.0,12.0
Jet2.com,NEWCASTLE,ALICANTE,10,30,1,0.0,0.0,0.03225806451612903,17.0
