carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Jet2.com,LEEDS BRADFORD,PALMA DE MALLORCA,10,38,0,3.00000006,0.07894737,0.0,38.0
Virgin Atlantic Airways Ltd,HEATHROW,WASHINGTON (DULLES),7,26,0,2.00000008,0.07692308,0.0,29.0
TUI Airways,BRISTOL,PALMA DE MALLORCA,9,26,0,2.00000008,0.07692308,0.0,48.0
Eastern Airways,TEESSIDE INTERNATIONAL AIRPORT,ABERDEEN,1,25,1,1.9230770000000001,0.07692308,0.038461538461538464,40.0
Jet2.com,MANCHESTER,LAS PALMAS,1,26,0,2.00000008,0.07692308,0.0,66.0
Jet2.com,BELFAST INTERNATIONAL,PALMA DE MALLORCA,7,26,0,2.00000008,0.07692308,0.0,102.0
easyJet,GATWICK,AGADIR (AL MASSIRA),11,26,0,2.00000008,0.07692308,0.0,33.0
Jet2.com,MANCHESTER,LARNACA,6,26,0,2.00000008,0.07692308,0.0,131.0
easyJet,MANCHESTER,KEFLAVIK,1,49,3,3.76923092,0.07692308,0.057692307692307696,37.0
Air Canada,HEATHROW,TORONTO,12,93,0,7.00000026,0.07526882,0.0,49.0
Wizz Air,LUTON,BACAU,10,40,0,3.0,0.075,0.0,23.0
Blue Islands Limited,SOUTHAMPTON,GUERNSEY,9,62,5,4.62686594,0.07462687,0.07462686567164178,54.0
Kenya Airways,HEATHROW,NAIROBI,2,27,0,1.9999998900000002,0.07407407,0.0,31.0
easyJet,EDINBURGH,MILAN (MALPENSA),7,27,0,1.9999998900000002,0.07407407,0.0,29.0
Ryanair,EDINBURGH,KRAKOW,12,27,0,1.9999998900000002,0.07407407,0.0,51.0
British Airways,GATWICK,ALGIERS,9,27,3,1.9999998900000002,0.07407407,0.1,54.0
easyJet,BRISTOL,RHODES,9,27,0,1.9999998900000002,0.07407407,0.0,37.0
Ryanair,MANCHESTER,BERLIN BRANDENBURG,1,40,2,2.89473688,0.072368422,0.047619047619047616,32.2
Air Canada,HEATHROW,TORONTO,1,83,0,6.00000028,0.07228916,0.0,42.0
Jetblue Airways Corporation,HEATHROW,BOSTON,2,28,0,1.9999999600000002,0.07142857000000001,0.0,30.0
British Airways,GATWICK,MAHON,9,28,0,1.9999999600000002,0.07142857000000001,0.0,41.0
British Airways,HEATHROW,CHENNAI,2,28,0,1.9999999600000002,0.07142857000000001,0.0,25.0
British Airways,GATWICK,ALGIERS,1,28,1,1.9999999600000002,0.07142857000000001,0.034482758620689655,24.0
Air Mauritius Ltd,GATWICK,MAURITIUS,3,27,1,1.9285713900000003,0.07142857000000001,0.03571428571428571,38.0
Ryanair,MANCHESTER,ALICANTE,1,71,1,4.9305559500000005,0.06944445,0.013888888888888888,43.0
Ryanair,STANSTED,GIRONA,7,58,0,4.00000024,0.06896552137931035,0.0,44.62068965517241
TUI Airways,NEWCASTLE,PALMA DE MALLORCA,6,29,0,2.00000008,0.06896552,0.0,38.0
Blue Islands Limited,JERSEY,GUERNSEY,1,55,3,3.7931036000000002,0.06896552,0.05172413793103448,37.0
Ryanair,STANSTED,PERUGIA,9,28,1,1.93103456,0.06896552,0.034482758620689655,48.0
British Airways,HEATHROW,SHANGHAI (PU DONG),10,29,0,2.00000008,0.06896552,0.0,70.0
Virgin Atlantic Airways Ltd,HEATHROW,ORLANDO,1,27,2,1.8620690400000002,0.06896552,0.06896551724137931,38.0
easyJet,GLASGOW,SOUTHAMPTON,12,29,0,2.00000008,0.06896552,0.0,34.0
Wizz Air,GATWICK,WARSAW (CHOPIN),9,29,0,2.00000008,0.06896552,0.0,72.0
Ryanair,STANSTED,CARCASSONNE,10,29,0,2.00000008,0.06896552,0.0,36.0
easyJet,LIVERPOOL (JOHN LENNON),TENERIFE (SURREINA SOFIA),1,28,1,1.93103456,0.06896552,0.034482758620689655,23.0
Wizz Air,LUTON,SUCEAVA,9,58,0,4.00000016,0.06896552,0.0,35.0
Wizz Air,LUTON,KRAKOW,11,29,0,2.00000008,0.06896552,0.0,21.0
United Airlines,HEATHROW,NEW YORK (NEWARK),7,212,6,14.587156080000002,0.06880734000000001,0.027522935779816515,40.0
Ryanair,BIRMINGHAM,KRAKOW,11,44,0,3.0000000800000004,0.06818182,0.0,35.0
Ryanair,MANCHESTER,LISBON,1,43,1,2.925,0.06802325581395348,0.022727272727272728,46.86046511627907
British Airways,HEATHROW,FLORENCE,8,58,1,3.9322033800000002,0.06779661000000001,0.01694915254237288,23.0
British Airways,HEATHROW,CHENNAI,6,29,1,1.9333334300000002,0.06666667000000001,0.03333333333333333,22.0
TUI Airways,MANCHESTER,TENERIFE (SURREINA SOFIA),1,30,0,2.0000001000000003,0.06666667000000001,0.0,56.0
Air Canada,HEATHROW,MONTREAL (DORVAL),1,30,0,2.0000001000000003,0.06666667000000001,0.0,41.0
United Airlines,EDINBURGH,WASHINGTON (DULLES),4,30,0,2.0000001000000003,0.06666667000000001,0.0,25.0
American Airlines,HEATHROW,BOSTON,4,30,0,2.0000001000000003,0.06666667000000001,0.0,56.0
Delta Airlines,EDINBURGH,NEW YORK (JF KENNEDY),9,30,0,2.0000001000000003,0.06666667000000001,0.0,19.0
Norse Atlantic Uk Ltd,GATWICK,NEW YORK (JF KENNEDY),4,30,0,2.0000001000000003,0.06666667000000001,0.0,84.0
Ryanair,STANSTED,SZCZECIN (GOLENOW),1,30,0,2.0000001000000003,0.06666667000000001,0.0,38.0
Aurigny Air Services,SOUTHAMPTON,ALDERNEY,6,60,0,4.000000200000001,0.06666667000000001,0.0,35.0
British Airways,HEATHROW,DENVER INTERNATIONAL,4,30,0,2.0000001000000003,0.06666667000000001,0.0,28.0
Wizz Air,LUTON,POZNAN,6,30,0,2.0000001000000003,0.06666667000000001,0.0,20.0
easyJet,MANCHESTER,KRAKOW,12,26,4,1.7333334200000003,0.06666667000000001,0.13333333333333333,47.0
American Airlines,HEATHROW,PHOENIX,6,30,0,2.0000001000000003,0.06666667000000001,0.0,97.0
Virgin Atlantic Airways Ltd,HEATHROW,DUBAI,11,30,0,2.0000001000000003,0.06666667000000001,0.0,27.0
Wizz Air,GATWICK,MEDINA,9,30,0,2.0000001000000003,0.06666667000000001,0.0,35.0
